"ID","Description","NES","pvalue","p.adjust","GeneRatio","BgRatio","geneID","geneName","Count","BG","Study","Freq","total_study","celltype","regulators","-log10(Padj)"
"KEGG_hsa04140","Autophagy",10.2814326882934,9.40502579201735e-08,0.000252524942515666,"9/97","141/17332","8837/9474/5588/10670/440275/29982/5894/8678/7249","CFLAR/ATG5/PRKCQ/RRAGA/EIF2AK4/NRBF2/RAF1/BECN1/TSC2",9,141,"2018_Science_Pan_B16_OT_I",13,18,"Tcells","neg",3.59769571908223
"KEGG_hsa05131","Shigellosis",11.6525968821009,1.22263823404794e-06,0.00164139182920936,"10/97","247/17332","3551/5970/1399/9474/5588/55072/10670/10096/3611/8678","IKBKB/RELA/CRKL/ATG5/PRKCQ/RNF31/RRAGA/ACTR3/ILK/BECN1",10,247,"2018_Science_Pan_B16_OT_I",12,18,"Tcells","neg",2.78478773281001
"REACTOME_5357905","Regulation of TNFR1 signaling",8.66754175453243,1.87161177363886e-06,0.00167509253740678,"5/97","37/17332","90268/3551/8772/8837/55072","OTULIN/IKBKB/FADD/CFLAR/RNF31",5,37,"2018_Science_Pan_B16_OT_I",12,18,"Tcells","neg",2.77596119616442
"GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","REGULATION OF TYPE I INTERFERON
 MEDIATED SIGNALING PATHWAY",8.20001980534856,3.57263611850511e-06,0.00239813199454656,"5/97","42/17332","8772/11274/5771/5781/11277","FADD/USP18/PTPN2/PTPN11/TREX1",5,42,"2018_Science_Pan_B16_OT_I",9,18,"Tcells","neg",2.62012691676444
"PID_P38_MK2_PATHWAY","P38 MK2 PATHWAY",6.47865872218328,5.12837606043999e-06,0.00275393794445627,"4/97","21/17332","1385/5894/7534/7249","CREB1/RAF1/YWHAZ/TSC2",4,21,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",2.56004585009357
"REACTOME_2871837","FCERI mediated NF-kB activation",10.0406680700929,6.53205099887578e-06,0.00292309282199691,"6/97","82/17332","5696/3551/5720/5970/5721/5588","PSMB8/IKBKB/PSME1/RELA/PSME2/PRKCQ",6,82,"2018_Science_Pan_B16_OT_I",8,18,"Tcells","neg",2.53415739352351
"GOBP_RESPONSE_TO_AMINO_ACID_STARVATION","RESPONSE TO AMINO ACID STARVATION
",7.35427785233055,7.76453043212067e-06,0.00297825203003486,"5/97","49/17332","10641/10670/440275/8131/8678","NPRL2/RRAGA/EIF2AK4/NPRL3/BECN1",5,49,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",2.5260385535207
"KEGG_hsa05235","PD-L1 expression and PD-1 checkpoint
 pathway in cancer",9.37161577164796,1.0504412070027e-05,0.00352554330100282,"6/97","89/17332","29126/3551/5970/5781/5588/5894","CD274/IKBKB/RELA/PTPN11/PRKCQ/RAF1",6,89,"2018_Science_Pan_B16_OT_I",5,18,"Tcells","neg",2.45277394691486
"REACTOME_9604323","Negative regulation of NOTCH4 signaling
",8.39438286287444,1.25959018391156e-05,0.00375777738200282,"5/97","54/17332","5696/5720/5721/10460/7534","PSMB8/PSME1/PSME2/TACC3/YWHAZ",5,54,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",2.42506895191817
"REACTOME_202424","Downstream TCR signaling",10.0406680700929,1.82736181427859e-05,0.00479999247422014,"6/97","98/17332","5696/3551/5720/5970/5721/5588","PSMB8/IKBKB/PSME1/RELA/PSME2/PRKCQ",6,98,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",2.31875944354259
