id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Vmn1r61	4	4.0174e-06	1.2264e-05	0.252475	1	4	-6.8756	1.0	1.0	1.0	19611	0	0
Kras	4	7.3582e-06	3.8236e-05	0.340965	2	3	-5.8135	0.8514	0.88765	1.0	16379	0	0
Klk13	4	2.6704e-05	8.056e-05	0.340965	3	4	-2.5968	0.94043	0.96491	1.0	18187	0	0
Cpeb1	4	3.7891e-05	0.0001022	0.340965	4	4	-6.4438	0.99996	0.99998	1.0	19610	0	0
Pkmyt1	4	4.4924e-05	0.00011976	0.340965	5	4	-6.7075	0.99996	0.99997	1.0	19609	0	0
Rnf216	4	5.2567e-05	0.00013202	0.340965	6	3	-7.1402	0.5606	0.60003	1.0	11088	1	2.5807
Mfsd10	4	5.5119e-05	0.0001325	0.340965	7	3	-7.0373	0.79172	0.82863	1.0	15232	0	0
Elovl6	4	6.7182e-05	0.00017531	0.344884	8	3	-7.2321	0.83645	0.8718	1.0	16077	0	0
Vmn1r237	4	8.0111e-05	0.00018878	0.344884	9	4	-4.2671	0.9567	0.97383	1.0	18549	0	0
Birc2	4	9.133e-05	0.00020104	0.344884	10	4	-6.7623	0.99991	0.99994	1.0	19608	0	0
Mgst3	3	0.00010014	0.00013106	0.340965	11	1	-8.5531	0.13444	0.2196	1.0	4373	2	2.5609
Grm7	4	0.00011028	0.00022437	0.355293	12	4	-5.5684	0.9871	0.99468	1.0	19253	0	0
Clec1b	4	0.00012566	0.00025298	0.371994	13	4	-6.5398	0.99987	0.99991	1.0	19607	0	0
Taf13	3	0.00014019	0.00016136	0.344884	14	3	-6.7025	0.99763	0.99855	1.0	19539	0	0
Cacng7	4	0.0001502	0.00033402	0.407845	15	3	-6.935	0.66855	0.69639	1.0	12841	1	2.2105
Urgcp	4	0.00019265	0.00037491	0.407845	16	3	-5.0198	0.48918	0.5443	1.0	10060	1	2.8064
Spns1	3	0.00019601	0.00032489	0.407845	17	3	-6.6064	0.9998	0.99989	1.0	19606	0	0
Gchfr	4	0.0002064	0.00038308	0.407845	18	2	-6.9607	0.62979	0.6587	1.0	12215	1	2.2665
2810474O19Rik	4	0.00025253	0.000423	0.407845	19	3	-6.362	0.9125	0.9421	1.0	17603	0	0
Fryl	4	0.00026294	0.00046148	0.407845	20	3	-5.1648	0.45178	0.51881	1.0	9570	1	3.2017
Vpreb1	4	0.000288	0.00056056	0.407845	21	4	-6.4585	0.99971	0.99984	1.0	19605	0	0
Mfsd3	4	0.00029372	0.00056392	0.407845	22	3	-6.9119	0.8497	0.88765	1.0	16339	0	0
Gm2913	3	0.00030584	0.0004319	0.407845	23	3	-6.3152	0.99969	0.99983	1.0	19604	0	0
C1galt1c1	4	0.00031645	0.00065242	0.407845	24	4	-6.2079	0.99968	0.99983	1.0	19603	0	0
Fam71a	4	0.00032895	0.00066709	0.407845	25	4	-5.1844	0.96927	0.98313	1.0	18823	0	0
Dhrs9	3	0.00034044	0.00049418	0.407845	26	1	-8.2607	0.11894	0.18749	0.962602	4030	2	2.5911
Rps6kb1	4	0.00034711	0.00078035	0.407845	27	3	-4.4501	0.22455	0.34722	1.0	6414	1	4.1035
Coq6	4	0.00036452	0.00082364	0.407845	28	4	-5.9758	0.99964	0.99981	1.0	19602	0	0
Amigo2	4	0.00038085	0.00082917	0.407845	29	4	-5.9043	0.99962	0.99981	1.0	19601	0	0
Scel	3	0.00039665	0.00063799	0.407845	30	3	-6.8432	0.99793	0.99861	1.0	19547	0	0
Foxr2	4	0.00039832	0.00085394	0.407845	31	4	-6.2614	0.9996	0.9998	1.0	19600	0	0
Slc26a5	4	0.00040017	0.00085394	0.407845	32	4	-6.1109	0.99774	0.9994	1.0	19544	0	0
Cmc1	4	0.00040051	0.00085394	0.407845	33	2	-4.3026	0.25404	0.38508	1.0	7078	2	2.2492
Itgav	4	0.00043496	0.00095927	0.407845	34	3	-6.804	0.41914	0.5023	1.0	9184	1	2.5767
Armc9	4	0.00043813	0.00097731	0.407845	35	4	-6.0023	0.99956	0.9998	1.0	19599	0	0
Gm20736	4	0.00045319	0.00098428	0.407845	36	4	-5.1791	0.94201	0.96571	1.0	18213	0	0
Zbtb43	4	0.00045971	0.00098428	0.407845	37	4	-6.0448	0.99954	0.99979	1.0	19598	0	0
Ptprk	4	0.00047323	0.00098476	0.407845	38	4	-5.6015	0.98779	0.99505	1.0	19274	0	0
Zhx1	4	0.00047447	0.00098476	0.407845	39	2	-7.4416	0.75708	0.7896	1.0	14538	0	0
Krt9	2	0.00047542	0.00060673	0.407845	40	2	-7.1745	0.99952	0.99939	1.0	19597	0	0
Vmn2r19	4	0.00048937	0.0010165	0.407845	41	2	-7.357	0.49081	0.5443	1.0	10084	1	2.2461
Mfsd4	4	0.00050729	0.0010165	0.407845	42	1	-8.252	0.72878	0.76163	1.0	13945	0	0
Nckap1l	4	0.00053017	0.0010165	0.407845	43	4	-5.9278	0.99947	0.99976	1.0	19596	0	0
Ubl4	4	0.00053213	0.0010165	0.407845	44	3	-6.9447	0.49359	0.54578	1.0	10122	1	2.7479
Hmox2	4	0.00053213	0.0010165	0.407845	45	3	-6.687	0.26873	0.41203	1.0	7427	1	4.4228
Atp10a	4	0.00054142	0.0010165	0.407845	46	2	-7.4304	0.24596	0.37175	1.0	6892	1	3.4494
Rnf19b	4	0.00055605	0.001017	0.407845	47	3	-6.9403	0.46513	0.52485	1.0	9750	1	2.744
Vmn2r8	4	0.00056067	0.001017	0.407845	48	2	-4.4565	0.056764	0.12944	0.920867	2526	2	3.3936
Atp5l	4	0.00058639	0.001017	0.407845	49	4	-6.3597	0.99941	0.99976	1.0	19595	0	0
Bcl7b	4	0.00060952	0.0010213	0.407845	50	3	-5.365	0.48028	0.53832	1.0	9947	1	2.6591
Peli2	4	0.00061406	0.0010218	0.407845	51	1	-8.2226	0.48177	0.54132	1.0	9961	1	3.0361
Commd3	4	0.0006232	0.0010302	0.407845	52	3	-6.7044	0.71017	0.73999	1.0	13594	0	0
Ankfy1	3	0.0006478	0.0012038	0.43851	53	2	-7.1637	0.70933	0.75465	1.0	13568	0	0
