aliquot_id,T_cells_CD8,T_cells_CD4,B_cells,NK_cells,Macrophage,Dendritic_cells,Mast_cells,Neutrophils,Eosinophils
39280,0.045795422,2.543054962,0.291459731,0.891840143,2.85828242,0.896126857,1.690595644,0,0.154633566
37840,0.319161546,0.850322332,4.492020513,0.421830056,0.825851748,1.194636607,0,0,0.015606191
32394,0.719303137,0.421242948,0.041191109,0,0.129920756,0.570313675,0.233536687,0,0.013174527
25921,0.367585416,1.82477353,0.734339734,0.954461604,2.742298606,0.685708546,0.315476743,0.012825988,0.013375813
25572,1.273692828,2.616574517,3.741260023,0.362340384,1.023377564,0.684905255,0.675175548,0,0
11004,2.118342711,4.539756266,0.54836234,1.052840114,3.495188057,0.921091198,0.412832676,0,0
11307,0.442743863,2.830006739,0,2.138786492,2.108436659,1.617039736,1.022641903,0,0
11698,1.213759509,1.52295962,0.662748851,0.489956745,2.459780441,0.439512238,0,0.037096717,0.037173727
12255,0,5.798399362,0.098702375,0.70337634,4.170311546,1.920242094,0.287372075,0,0
13009,0,2.864321081,0.155419348,0.912426249,2.061067995,2.693324168,1.158634797,0.016184052,0
13261,0,1.711529678,0.200380872,0.587234473,3.372894583,2.837389186,1.64479776,0.188436147,0
13269,2.641427939,0,2.191460749,1.203385504,1.729645852,0.806244702,0.059816013,0,0.109246038
13577,0.517288256,1.941141001,0.01384753,0.10972441,0.366067527,0.079425919,0.668190072,0,0.01367399
13268,2.211092029,2.777281075,0.001210667,1.232465917,7.077480639,0.089745191,0.576549056,0,0
13764,2.072886433,3.991342969,0,0.947840782,5.261303247,3.519472328,0.548389254,0,0
13904,0,0.814252923,0.266565409,0.126135883,1.852225745,2.411503966,0.134119501,0.122044767,0
13931,4.803512246,1.780904855,0.422326679,0.910342645,4.588956265,4.874403607,0.03699582,0.065284497,0
14231,0,3.933517903,0,1.677053852,11.41000105,0.42523252,0.53674264,0.409021211,0
13947,1.505590458,1.250715768,0.286769235,0.370778914,2.395575886,2.132788608,0.231935788,0.20454166,0.021349282
14232,1.976228595,4.870702221,0,1.860895028,11.85331783,1.412030214,0.482135436,0.072942195,0
14446,0,2.391490559,1.774266029,0.697738432,3.417134604,4.483326973,0.679822335,0.429731777,0
14498,0,2.067292325,0,0.675377581,2.762735279,1.246031635,0,0,0
14519,0.318520836,0.509656835,0.039403976,0.25593984,0.727050704,0.125837189,0.496712088,0,0.032286956
14891,2.67324723,3.649217305,0.168273409,0.504298466,0.904471382,0.471442265,1.137411962,1.034015226,0
15122,0.614684368,1.607589745,0.682077495,0.164574289,4.356940935,0.210717732,0.083986766,0.007034646,0
15227,0.803261285,5.475513364,2.258696501,0.789465211,13.51143199,0.199214701,0,0,0
15148,0.450780991,0.909800081,0.438893487,0.137776911,2.173652352,0.022904422,0.038142103,0,0
15123,0.672424568,0.907742412,0.125249879,0,3.928265276,0.288172902,0.436001796,0.002125919,0
15268,1.696254449,3.56182824,4.669988584,0.408434458,3.324341426,0.053738726,0.549906815,0,0
15844,1.197537732,6.527232853,2.959334235,1.338608029,6.344147963,0.016291926,0.397015845,0,0
16385,0.383122335,2.393664045,1.364207225,0.263008927,6.31603861,0,0.326168711,0,0
16500,1.445003993,5.092737568,1.339997784,0.761179872,3.864492724,0.356746844,0.657586061,0,0
16501,0.18983479,1.761816755,1.804273598,0.449188734,9.095139684,0,0.235036125,0,0
16689,2.091840757,7.280366071,1.935842749,1.486924843,12.07925724,2.225923031,0.759256581,0.743114091,0
16949,5.531985379,5.558522232,0.8084005,2.814291228,9.707440011,0.440483537,0.462845868,0,0
17584,0,0.600333426,0.420060413,0.221570457,2.141551937,0.077722984,0.658585947,0.006413164,0
17284,1.6462819,3.046133916,0.463629897,1.045863392,9.138600632,0.140380758,0.593913939,0,0
17557,0.276432424,2.660878539,0.918406903,0.210963963,6.737227234,0,1.588523337,0,0
17827,0,0.607047701,0.077039871,0.138561054,3.966174414,0.291111248,0.051783302,0,0
18154,0.032258584,1.71642513,0.148479671,0.300972401,1.225939781,1.628327404,0.953818012,0,0.063761662
18153,0.028739632,2.685153182,1.024203213,0.263729482,6.974224257,0.196528134,1.239503174,0.268434359,0
18228,0.377430472,1.582922777,0.333212978,0.466502722,7.703992868,0,0.753342438,0.112297585,0
18624,2.010961069,7.549092677,1.735173664,0.655780817,7.055134176,0.093090147,1.645592892,0,0
18568,0.208345974,0.774318062,0.004299654,0.13035058,2.374653054,0.432690968,0.061789936,0,0
18843,0.503987805,5.953647546,2.418952522,0.919272908,7.657301776,0.263034119,0.697260945,0,0
18625,0,3.712254621,0.448950208,0.757691819,8.189146018,0,0.113816283,0,0
18650,2.130632192,3.718640778,0.471042846,0.618509198,7.99872506,1.907153368,1.544258009,0,0.073310607
18844,0.337933655,1.713469163,0.580215376,0.06078181,7.365025737,0,1.006326251,0,0
18880,0.761899141,7.706795618,4.152553569,1.01859861,5.518584075,1.591447724,7.583533816,0.021831866,0
19512,0.48783046,3.166895008,0.920173108,0.608725129,4.50700812,0.178193771,0.235050409,0,0
19652,0.140347829,0.508273233,0.348523756,0,4.855224674,0.04763677,0.370864877,0,0.007006645
19661,0.358603762,0.313047593,0.542143604,0.341669467,3.344092949,0.232939127,0,0,0.027673711
19843,13.01444116,29.41293289,8.113641806,6.441321701,16.15075028,0,0.954923761,0,0
20034,2.058496555,5.933934507,1.312425465,1.088133489,4.52722512,1.798538309,0.118355545,0.027404491,0
20115,0.289530876,0.742979102,0.13342306,0.023011908,0.570737601,0.008601292,0.61730814,0,0.01874462
20794,1.579787383,3.845709383,3.162591529,1.747413696,10.6373623,0,0.68517501,0,0
20600,0.49404388,1.2491296,1.24566325,0.155862111,2.524483357,0,0.437662034,0,0
21186,0.483271093,2.341849597,0.150819942,0.318443758,8.005614932,0,0.790259266,0.082851149,0
21404,0.752929644,8.862248213,2.168172923,2.714570061,12.67495667,0,1.68546063,0,0
20801,0.114399652,16.28499288,2.647537051,1.873452132,13.5297046,0.845915372,6.380016032,0,0
20800,0.026959241,0,0.851397373,0.080963462,4.998224717,0.321911607,0.125849704,0,0
21098,2.48088638,8.287929331,7.741566249,0,8.581696444,0.236400839,3.539751382,0,0
21392,0,2.445783255,0.093232592,0.310820725,5.21983342,0.024303977,0.101080908,0,0
21347,0,12.17305522,6.925184238,4.57235301,9.776519882,0,0,0,0
21188,4.221888666,2.640552176,0.076290858,1.97813014,8.257341562,0.851598936,0.853404443,0,0
21516,0.943856272,1.867326922,1.28054036,0.227366897,5.992993147,0.231441339,0.347930638,0,0
21933,0.575384106,0.323094624,0.840990059,0.123483717,1.973512138,0.940042603,0.122398478,0,0
21720,4.134470863,9.224222933,2.347276323,2.469821257,7.783612697,1.224770078,0.704419953,0,0
22415,1.601454223,6.389325349,1.615196387,0.678593644,4.338048395,1.401860975,0.649013158,0,0
21932,0,2.266248991,0.022352356,0.088748879,1.971735661,0,2.871864428,0,0
21721,0,4.639687528,0.369585225,0.642757379,4.390178558,0.181201374,1.138258789,0.023052828,0.024203334
22254,1.251983839,2.576166635,0.833518861,0.798334006,7.885474219,0.193233718,1.100053301,0,0
21774,0.035854881,2.936011647,0.495156179,0.408883548,9.851063736,0,0.799374249,0,0
22186,0,1.796341343,0.52814504,0.478857386,9.316389154,0.173119217,0.224833511,0,0
22593,0.036416997,0,0.147665252,0,5.794282725,0.137517973,0,0,0.000976457
22595,0,0.248362179,0.235401781,0.033166675,4.350027443,0.332976226,0.055476829,0.02084318,0
22256,3.789264573,6.16713234,1.231147767,2.727093768,23.03607247,0,3.291114957,0,0
22244,3.365851168,7.982675978,1.691782982,1.787279503,7.259506421,0,0.349640608,0,0
22499,1.660474853,4.797270982,1.364776374,0.855268361,4.470048161,0,1.099897863,0,0
23344,0,0.370707216,0.463323676,0.006247273,3.410512905,0.128268966,0.228851896,0,0
22592,0.20592385,1.825793786,0.473400962,0.745982453,5.869286629,0,0.135339543,0,0
23238,0.470736567,2.91835164,1.567857932,0.217374018,3.30888917,0,2.045342966,0,0
22597,0.920985979,3.207731795,0.927919542,0.342468542,7.697051127,0.275306533,0.630453635,0,0
23162,4.241010193,14.05308074,12.51028332,5.817414139,8.162823081,0,0.774746987,0,0
23187,0.980242827,1.511571693,1.101238781,0.68824313,5.601361212,1.345934372,0.602314195,0,0
23205,0.318205372,3.181050017,0.401498128,0.10312983,9.413361273,1.957836136,0.991067864,0,0
23189,0.17404015,1.628004889,0.828591776,0.215741524,10.57669386,0.011530786,0.251323401,0,0
23239,2.565416252,7.831626372,2.821132049,0.944080937,4.518182844,0.535045583,0.176578623,0,0
23237,0.137851347,1.429074271,0.221059892,0.303720391,6.563622062,0,0.756957897,0,0
23315,0.145142858,3.362779713,2.147645315,0.592511232,12.85117366,0,0.921261304,0,0
23453,2.887577241,13.80648533,8.207985483,3.251842274,13.39695508,0.597096337,0.401290527,0,0
23675,0.255013602,1.687068663,0.353890297,0.174734695,3.558715633,0.057092589,0.462046445,0.088667799,0
23676,0,4.460231481,1.80087525,0.700915401,5.462091422,2.150528363,0.588202413,0,0.017220724
23401,0.955902695,2.547436039,1.164527039,0.345261861,4.577797976,0.50259613,0.554301289,0.151589038,0
23411,0.338511769,0.990965615,0.240251719,0.116719213,1.979768426,0.152743475,0.469345798,0,0
24176,1.784500883,6.338485805,4.513429238,0.619944714,7.578583202,0.562444595,0,0.026678062,0
23738,0,2.874997423,0.28059078,0.278557419,2.551199427,0,0.22799662,0,0.057599981
23454,3.296194969,11.76428652,1.641329395,0.30948796,5.93632546,0.316207047,1.423660393,0,0.206249882
23673,0.158851748,3.083671756,0.824463632,0.347971679,4.280664498,0.046955422,0.319155815,0,0
23674,3.17172451,8.845462605,3.438654916,2.049206622,10.1033036,0.975500312,1.516198129,0,0
23706,1.339469363,6.27631251,2.348888971,0.975945286,5.691908149,1.577289868,0.262346961,0,0
23739,2.256238711,5.429935602,0.713871816,2.181629658,5.921154841,0.190085878,0.825355192,0,0
23701,0.373730727,3.370571528,0,0.286397611,8.033077964,2.441099315,0.009077924,0,0.039437517
