"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"CCHM",1,1,1,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CSCC",1,1,1,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"SARCNOS",1,1,1,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Bone-Osteosarc",4,1,0.25,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Skin-Melanoma",17,1,0.0588235294117647,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ColoRect-AdenoCA",72,3,0.0416666666666667,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Ovary-AdenoCA",25,1,0.04,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Lung-AdenoCA",46,1,0.0217391304347826,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Breast-AdenoCA",129,1,0.00775193798449612,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ACBC",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ACC",4,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ACRM",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ACYC",3,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"AECA",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ALUCA",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ANSC",6,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"APAD",3,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"APE",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ARMS",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ASPS",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ATRT",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"BA",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"BCC",3,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"BLAD",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Breast-DCIS",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Breast-LobularCA",8,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CACC",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CCS",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CDRCC",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Cervix-AdenoCA",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"Cervix-SCC",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CHDM",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CHOL",10,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CHS",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CNS-GBM",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CNS-Oligo",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"COAD",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"COM",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"CSCLC",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"DA",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"ECAD",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"EMBC",2,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
"EPM",1,0,0,0.0192982456140351,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process
","Cellular Amino Acid Metabolic Process
"
