id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
TAPBP	4	1.2663e-10	2.5565e-07	0.00165	1	4	-11.82	1.0	1.0	1.0	19360	0	-11.82
SND1	4	7.5865e-10	2.5565e-07	0.00165	2	4	-11.237	0.99998	0.99999	1.0	19351	0	-11.237
TAP1	4	4.1632e-09	2.5565e-07	0.00165	3	4	-11.566	1.0	1.0	1.0	19354	0	-11.566
HLA-B	4	1.5033e-08	5.1131e-07	0.002475	4	4	-10.445	1.0	1.0	1.0	19364	0	-10.445
CD27	4	3.6514e-08	1.2783e-06	0.003094	5	4	-9.3832	1.0	1.0	1.0	19363	0	-9.3832
RFX5	4	3.8462e-08	1.2783e-06	0.003094	6	4	-10.403	1.0	1.0	1.0	19362	0	-10.403
CALR	4	5.627e-08	1.2783e-06	0.003094	7	4	-9.0593	0.99954	0.99955	1.0	19318	0	-9.0593
BRD9	4	6.2284e-08	1.2783e-06	0.003094	8	4	-10.625	1.0	1.0	1.0	19361	0	-10.625
CMTR1	4	1.4979e-07	2.8122e-06	0.006051	9	4	-8.662	1.0	1.0	1.0	19359	0	-8.662
NLRC5	4	3.0878e-07	3.3235e-06	0.006436	10	4	-9.3459	1.0	1.0	1.0	19358	0	-9.3459
RFXANK	4	1.2015e-06	4.8574e-06	0.008551	11	4	-10.541	0.94516	0.94543	1.0	18002	0	-10.541
BAP1	4	1.5298e-06	5.8801e-06	0.009488	12	4	-8.6609	1.0	1.0	1.0	19357	0	-8.6609
ANKRD33B	4	1.6399e-06	6.3914e-06	0.00952	13	4	-8.9621	0.99992	0.99992	1.0	19339	0	-8.9621
RELB	4	2.0696e-06	7.9253e-06	0.00961	14	4	-7.9872	0.99979	0.9998	1.0	19330	0	-7.9872
SMARCD1	4	2.2555e-06	7.9253e-06	0.00961	15	4	-6.7669	0.99368	0.99369	1.0	19121	0	-6.7669
TAP2	4	2.345e-06	8.4366e-06	0.00961	16	4	-10.567	0.99977	0.99979	1.0	19329	0	-10.567
ZFP36L1	4	2.4077e-06	8.4366e-06	0.00961	17	4	-9.1595	1.0	1.0	1.0	19356	0	-9.1595
TAF2	4	2.6704e-06	9.4592e-06	0.010149	18	4	-7.6638	1.0	1.0	1.0	19355	0	-7.6638
SLC20A1	4	2.8288e-06	9.9705e-06	0.010149	19	4	-9.4651	0.98078	0.98099	1.0	18822	0	-9.4651
SMARCA4	4	2.9689e-06	1.0482e-05	0.010149	20	4	-8.2142	0.99984	0.99985	1.0	19331	0	-8.2142
HDAC3	4	4.6935e-06	1.764e-05	0.016266	21	4	-7.5984	1.0	1.0	1.0	19353	0	-7.5984
CMTM6	4	8.9572e-06	4.2183e-05	0.037129	22	4	-9.4987	0.99997	0.99998	1.0	19348	0	-9.4987
DYRK1A	4	9.4949e-06	4.6273e-05	0.038958	23	4	-6.6683	0.99628	0.99629	1.0	19195	0	-6.6683
RCE1	4	1.0145e-05	4.883e-05	0.039398	24	4	-8.1742	0.99999	0.99999	1.0	19352	0	-8.1742
FBXO11	4	1.154e-05	5.2409e-05	0.040594	25	4	-7.2429	0.98893	0.98893	1.0	19009	0	-7.2429
HDAC7	4	1.8792e-05	8.769e-05	0.065308	26	4	-8.8447	0.99954	0.99954	1.0	19317	0	-8.8447
RFXAP	4	2.0119e-05	9.4337e-05	0.065948	27	4	-8.4865	0.99998	0.99998	1.0	19350	0	-8.4865
MAP3K14	4	2.0259e-05	9.5359e-05	0.065948	28	4	-7.506	0.99998	0.99998	1.0	19349	0	-7.506
CMC4	4	2.2304e-05	0.00010303	0.066832	29	4	-7.446	0.99921	0.99922	1.0	19302	0	-7.446
DSG1	4	2.2502e-05	0.00010354	0.066832	30	3	-8.5764	0.51375	0.57777	1.0	10680	1	-8.5764
ZCCHC2	4	3.3203e-05	0.00014496	0.087459	31	4	-6.1797	0.99997	0.99997	1.0	19347	0	-6.1797
COPB2	4	3.4473e-05	0.00015007	0.087459	32	4	-8.2342	0.96697	0.9672	1.0	18464	0	-8.2342
SPIB	4	3.4959e-05	0.00015263	0.087459	33	4	-8.6753	0.99895	0.99895	1.0	19292	0	-8.6753
CHUK	4	3.6846e-05	0.0001562	0.087459	34	4	-7.1792	0.99996	0.99997	1.0	19346	0	-7.1792
USP1	4	3.8865e-05	0.00016439	0.087459	35	4	-8.1809	0.99996	0.99996	1.0	19345	0	-8.1809
N6AMT1	4	3.9683e-05	0.00016694	0.087459	36	4	-9.0141	0.96697	0.9672	1.0	18619	0	-9.0141
FBXW7	4	4.1792e-05	0.00017563	0.087459	37	4	-4.9898	0.99996	0.99996	1.0	19344	0	-4.9898
NAA25	4	4.2058e-05	0.00017615	0.087459	38	3	-8.3901	0.095736	0.20016	0.973367	3981	1	-8.3901
MOGS	4	4.2101e-05	0.00017615	0.087459	39	4	-9.1754	0.99732	0.99732	1.0	19237	0	-9.1754
HSH2D	4	4.3509e-05	0.00018177	0.087995	40	4	-5.9726	0.99996	0.99996	1.0	19343	0	-5.9726
HPCAL1	4	4.8347e-05	0.00020273	0.093706	41	4	-7.5973	0.99995	0.99995	1.0	19342	0	-7.5973
CD79A	4	4.8744e-05	0.00020325	0.093706	42	4	-8.1779	0.99833	0.99835	1.0	19271	0	-8.1779
BRAP	4	5.4795e-05	0.0002237	0.100737	43	4	-6.2581	0.97615	0.97638	1.0	18706	0	-6.2581
TTC14	4	6.2013e-05	0.00025438	0.111949	44	4	-7.5704	0.98907	0.98906	1.0	19014	0	-7.5704
UBE3A	4	6.3282e-05	0.00026205	0.112761	45	3	-8.0358	0.7835	0.78379	1.0	14671	0	-8.0358
PROS1	4	7.3151e-05	0.00029733	0.125161	46	4	-7.8495	0.96697	0.9672	1.0	18308	0	-7.8495
RNF19A	4	7.5451e-05	0.00030704	0.126501	47	4	-7.3754	0.99992	0.99993	1.0	19341	0	-7.3754
PPIP5K2	4	7.7307e-05	0.00031522	0.127166	48	4	-4.3341	0.99992	0.99993	1.0	19340	0	-4.3341
WDR48	4	8.2287e-05	0.00033567	0.132653	49	3	-5.542	0.79053	0.79079	1.0	14806	0	-5.542
SCAF11	4	9.1137e-05	0.00036329	0.139099	50	4	-4.7973	0.99991	0.99992	1.0	19338	0	-4.7973
IRF1	4	9.2279e-05	0.00036635	0.139099	51	4	-6.7436	0.96697	0.9672	1.0	18681	0	-6.7436
EIF3L	4	9.8633e-05	0.00039243	0.139604	52	4	-7.7771	0.9999	0.99991	1.0	19337	0	-7.7771
HNRNPU	4	9.8633e-05	0.00039243	0.139604	53	4	-6.6629	0.9999	0.99991	1.0	19336	0	-6.6629
IPO13	4	9.9402e-05	0.00039447	0.139604	54	4	-5.9863	0.9999	0.99991	1.0	19335	0	-5.9863
SURF4	4	0.0001003	0.00039652	0.139604	55	4	-7.6615	0.99582	0.99581	1.0	19181	0	-7.6615
CNOT11	4	0.00010497	0.00041186	0.142415	56	4	-4.3667	0.9999	0.9999	1.0	19334	0	-4.3667
DOHH	4	0.00011059	0.0004318	0.146691	57	4	-5.3569	0.99989	0.9999	1.0	19333	0	-5.3569
TRIM11	4	0.00011594	0.00045788	0.152868	58	4	-7.4754	0.98978	0.98977	1.0	19028	0	-7.4754
KHDRBS1	4	0.00011855	0.00047373	0.154439	59	3	-8.0738	0.56395	0.60802	1.0	11261	1	-8.0738
LYN	4	0.00012105	0.00048395	0.154439	60	3	-8.3228	0.86396	0.86425	1.0	16325	0	-8.3228
RBBP7	4	0.00012168	0.00048651	0.154439	61	4	-6.2699	0.99988	0.99989	1.0	19332	0	-6.2699
C11orf30	4	0.00012602	0.00050032	0.155823	62	4	-8.5221	0.97712	0.97729	1.0	18734	0	-8.5221
GANAB	4	0.00012779	0.00050696	0.155823	63	4	-6.7839	0.99896	0.99897	1.0	19293	0	-6.7839
PPIE	4	0.00015529	0.00061178	0.185102	64	3	-7.4076	0.58362	0.62068	1.0	11505	1	-7.4076
TSGA13	4	0.00016497	0.00064502	0.192155	65	3	-5.7343	0.81581	0.81616	1.0	15310	0	-5.7343
MMP21	4	0.00017231	0.00066854	0.196145	66	2	-4.9971	0.57542	0.6154	1.0	11404	1	-4.9971
KAT7	4	0.00021339	0.00081528	0.235629	67	4	-8.5017	0.96697	0.9672	1.0	18663	0	-8.5017
MSH6	4	0.00022356	0.00084801	0.240482	68	4	-7.8073	0.98922	0.98921	1.0	19018	0	-7.8073
GP2	4	0.00022814	0.00086744	0.240482	69	3	-6.1103	0.66933	0.68124	1.0	12702	1	-6.1103
C8orf33	4	0.00022862	0.0008705	0.240482	70	4	-4.5396	0.99977	0.99979	1.0	19328	0	-4.5396
NRD1	4	0.00023194	0.00088175	0.240482	71	4	-6.9809	0.99798	0.998	1.0	19261	0	-6.9809
EPB41L5	4	0.00023485	0.00089607	0.240993	72	4	-8.0592	0.99817	0.99819	1.0	19265	0	-8.0592
SPAG7	4	0.00024418	0.00093186	0.243526	73	4	-4.9931	0.99976	0.99978	1.0	19327	0	-4.9931
UGGT1	4	0.00024916	0.00095027	0.243526	74	4	-3.8674	0.99975	0.99977	1.0	19326	0	-3.8674
