ID,Description,NES,pvalue,p.adjust,GeneRatio,BgRatio,geneID,geneName,Count,BG,Study,Freq,total_study,celltype,regulators,-log10(Padj),Study_1,Study_2,Cell_line
KEGG_hsa04140,Autophagy,10.28143269,9.41E-08,0.000252525,Sep-97,141/17332,8837/9474/5588/10670/440275/29982/5894/8678/7249,CFLAR/ATG5/PRKCQ/RRAGA/EIF2AK4/NRBF2/RAF1/BECN1/TSC2,9,141,2018_Science_Pan_B16_OT_I,13,18,Tcells,neg,3.597695719,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa05131,Shigellosis,11.65259688,1.22E-06,0.001641392,Oct-97,247/17332,3551/5970/1399/9474/5588/55072/10670/10096/3611/8678,IKBKB/RELA/CRKL/ATG5/PRKCQ/RNF31/RRAGA/ACTR3/ILK/BECN1,10,247,2018_Science_Pan_B16_OT_I,12,18,Tcells,neg,2.784787733,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_5357905,Regulation of TNFR1 signaling,8.667541755,1.87E-06,0.001675093,May-97,37/17332,90268/3551/8772/8837/55072,OTULIN/IKBKB/FADD/CFLAR/RNF31,5,37,2018_Science_Pan_B16_OT_I,12,18,Tcells,neg,2.775961196,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,"REGULATION OF TYPE I 
INTERFERON MEDIATED SIGNALING PATHWAY",8.200019805,3.57E-06,0.002398132,May-97,42/17332,8772/11274/5771/5781/11277,FADD/USP18/PTPN2/PTPN11/TREX1,5,42,2018_Science_Pan_B16_OT_I,9,18,Tcells,neg,2.620126917,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_P38_MK2_PATHWAY,P38 MK2 PATHWAY,6.478658722,5.13E-06,0.002753938,Apr-97,21/17332,1385/5894/7534/7249,CREB1/RAF1/YWHAZ/TSC2,4,21,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,2.56004585,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_2871837,FCERI mediated NF-kB activation,10.04066807,6.53E-06,0.002923093,Jun-97,82/17332,5696/3551/5720/5970/5721/5588,PSMB8/IKBKB/PSME1/RELA/PSME2/PRKCQ,6,82,2018_Science_Pan_B16_OT_I,8,18,Tcells,neg,2.534157394,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_AMINO_ACID_STARVATION,"RESPONSE TO AMINO ACID 
STARVATION",7.354277852,7.76E-06,0.002978252,May-97,49/17332,10641/10670/440275/8131/8678,NPRL2/RRAGA/EIF2AK4/NPRL3/BECN1,5,49,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,2.526038554,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa05235,"PD-L1 expression and PD-1 
checkpoint pathway in cancer",9.371615772,1.05E-05,0.003525543,Jun-97,89/17332,29126/3551/5970/5781/5588/5894,CD274/IKBKB/RELA/PTPN11/PRKCQ/RAF1,6,89,2018_Science_Pan_B16_OT_I,5,18,Tcells,neg,2.452773947,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_9604323,"Negative regulation of NOTCH4 
signaling",8.394382863,1.26E-05,0.003757777,May-97,54/17332,5696/5720/5721/10460/7534,PSMB8/PSME1/PSME2/TACC3/YWHAZ,5,54,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,2.425068952,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_202424,Downstream TCR signaling,10.04066807,1.83E-05,0.004799992,Jun-97,98/17332,5696/3551/5720/5970/5721/5588,PSMB8/IKBKB/PSME1/RELA/PSME2/PRKCQ,6,98,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,2.318759444,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_IGF1_PATHWAY,IGF1 PATHWAY,6.513119673,1.97E-05,0.004799992,Apr-97,29/17332,1399/5781/5894/7534,CRKL/PTPN11/RAF1/YWHAZ,4,29,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,2.318759444,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa04150,mTOR signaling pathway,9.270370744,2.62E-05,0.00489065,Jul-97,155/17332,3551/10641/10670/92335/5894/8131/7249,IKBKB/NPRL2/RRAGA/STRADA/RAF1/NPRL3/TSC2,7,155,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa05160,Hepatitis C,9.867274259,2.84E-05,0.00489065,Jul-97,157/17332,3551/5970/8772/8837/440275/5894/7534,IKBKB/RELA/FADD/CFLAR/EIF2AK4/RAF1/YWHAZ,7,157,2018_Science_Pan_B16_OT_I,11,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,"RESPONSE TO TYPE I 
INTERFERON",8.200019805,2.91E-05,0.00489065,May-97,64/17332,8772/11274/5771/5781/11277,FADD/USP18/PTPN2/PTPN11/TREX1,5,64,2018_Science_Pan_B16_OT_I,9,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,"TUMOR NECROSIS FACTOR MEDIATED 
SIGNALING PATHWAY",9.449753266,3.01E-05,0.00489065,Jun-97,107/17332,90268/3551/5970/5771/10670/3611,OTULIN/IKBKB/RELA/PTPN2/RRAGA/ILK,6,107,2018_Science_Pan_B16_OT_I,8,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa04931,Insulin resistance,9.186039222,3.18E-05,0.00489065,Jun-97,108/17332,3551/5970/1385/5781/5588/6513,IKBKB/RELA/CREB1/PTPN11/PRKCQ/SLC2A1,6,108,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_CELLULAR_RESPONSE_TO_STARVATION,CELLULAR RESPONSE TO STARVATION,8.953552724,3.21E-05,0.00489065,Jul-97,160/17332,10641/9474/10670/440275/8131/8678/6513,NPRL2/ATG5/RRAGA/EIF2AK4/NPRL3/BECN1/SLC2A1,7,160,2018_Science_Pan_B16_OT_I,4,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_1169091,"Activation of NF-kappaB in 
B cells",9.334679817,3.63E-05,0.00489065,May-97,67/17332,5696/3551/5720/5970/5721,PSMB8/IKBKB/PSME1/RELA/PSME2,5,67,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE,CELLULAR RESPONSE TO PEPTIDE,11.66852117,3.67E-05,0.00489065,Oct-97,364/17332,5970/5771/10014/5781/8837/10135/51510/5588/1020/7249,RELA/PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/CHMP5/PRKCQ/CDK5/TSC2,10,364,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa05163,Human cytomegalovirus infection,10.98199536,3.82E-05,0.00489065,Aug-97,225/17332,3551/5970/8772/1385/1399/3685/5894/7249,IKBKB/RELA/FADD/CREB1/CRKL/ITGAV/RAF1/TSC2,8,225,2018_Science_Pan_B16_OT_I,9,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa04668,TNF signaling pathway,9.557192322,3.90E-05,0.00489065,Jun-97,112/17332,3551/5970/8772/1385/8837/3659,IKBKB/RELA/FADD/CREB1/CFLAR/IRF1,6,112,2018_Science_Pan_B16_OT_I,12,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa04920,Adipocytokine signaling pathway,8.094958693,4.19E-05,0.00489065,May-97,69/17332,3551/5970/5781/5588/6513,IKBKB/RELA/PTPN11/PRKCQ/SLC2A1,5,69,2018_Science_Pan_B16_OT_I,9,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_MTOR_4PATHWAY,MTOR 4PATHWAY,7.46459202,4.19E-05,0.00489065,May-97,69/17332,3551/10670/5894/7534/7249,IKBKB/RRAGA/RAF1/YWHAZ/TSC2,5,69,2018_Science_Pan_B16_OT_I,3,18,Tcells,neg,2.310633418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,"REGULATION OF INNATE IMMUNE 
RESPONSE",10.87317654,4.46E-05,0.004990243,Aug-97,230/17332,3551/8772/11274/5771/5272/5781/3659/11277,IKBKB/FADD/USP18/PTPN2/SERPINB9/PTPN11/IRF1/TREX1,8,230,2018_Science_Pan_B16_OT_I,10,18,Tcells,neg,2.301878325,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_GMCSF_PATHWAY,GMCSF PATHWAY,6.806037753,4.73E-05,0.005083137,Apr-97,36/17332,3551/5781/5894/7534,IKBKB/PTPN11/RAF1/YWHAZ,4,36,2018_Science_Pan_B16_OT_I,3,18,Tcells,neg,2.293868157,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,"CELLULAR RESPONSE TO EXTERNAL 
STIMULUS",10.65930441,5.86E-05,0.005847625,Sep-97,309/17332,8772/10641/9474/10670/440275/3659/8131/8678/6513,FADD/NPRL2/ATG5/RRAGA/EIF2AK4/IRF1/NPRL3/BECN1/SLC2A1,9,309,2018_Science_Pan_B16_OT_I,4,18,Tcells,neg,2.233020456,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_8939243,"RUNX1 interacts with co-factors 
whose precise effect on 
RUNX1 targets is not 
known",6.599272049,5.88E-05,0.005847625,Apr-97,38/17332,196528/55193/28996/8289,ARID2/PBRM1/HIPK2/ARID1A,4,38,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,2.233020456,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,"REGULATION OF RESPONSE TO 
CYTOKINE STIMULUS",10.51927656,6.32E-05,0.006061969,Jul-97,178/17332,90268/3551/8772/11274/5771/5781/11277,OTULIN/IKBKB/FADD/USP18/PTPN2/PTPN11/TREX1,7,178,2018_Science_Pan_B16_OT_I,10,18,Tcells,neg,2.217386278,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa05220,Chronic myeloid leukemia,8.278815639,6.68E-05,0.006182464,May-97,76/17332,3551/5970/1399/5781/5894,IKBKB/RELA/CRKL/PTPN11/RAF1,5,76,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,2.208838426,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_IFNG_PATHWAY,IFNG PATHWAY,6.886446638,7.22E-05,0.006377799,Apr-97,40/17332,5771/1399/5781/3659,PTPN2/CRKL/PTPN11/IRF1,4,40,2018_Science_Pan_B16_OT_I,6,18,Tcells,neg,2.195329151,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
