"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"A1BG",0.77896,12690,0.4416,6976
"A1CF",0.61207,11281,0.54832,8052
"A2M",0.89298,14246,0.81679,12007
"A2ML1",0.92169,14714,0.83981,12626
"A3GALT2",0.017468,1390,0.89756,14295
"A4GALT",0.9021,14400,0.10665,3468
"A4GNT",0.80992,13056,0.44676,7055
"AAAS",0.35252,8473,0.35327,5757
"AACS",0.23243,6883,0.98476,17213
"AADAC",0.79482,12883,0.91827,14898
"AADACL2",0.42614,9494,0.3953,6313
"AADACL3",0.052608,2892,0.77349,11093
"AADACL4",0.31544,7960,0.58687,8388
"AADAT",0.32043,8024,0.65791,9169
"AAED1",0.11484,4527,0.30256,5167
"AAGAB",0.9985,16600,0.0014958,1756
"AAK1",0.011223,1010,0.41706,6618
"AAMDC",0.11502,4532,0.56872,8222
"AAMP",0.98673,15988,0.00013302,1080
"AANAT",0.22708,6811,0.54015,7990
"AAR2",0.93035,14840,0.75235,10698
"AARD",0.45079,9860,0.93404,15419
"AARS",1,17799,1.457e-06,235
"AARS2",1,17938,1.4116e-07,79
"AARSD1",0.15926,5652,0.94435,15765
"AASDH",0.8445,13494,0.38803,6205
"AASDHPPT",0.99792,16524,0.0020829,1855
"AASS",0.72132,12130,0.89865,14331
"AATF",1,17721,3.7055e-06,335
"AATK",0.46352,10048,0.83141,12412
"ABAT",0.40323,9182,0.82565,12238
"ABCA1",0.2913,7647,0.8975,14292
"ABCA10",0.47709,10246,0.92978,15288
"ABCA12",0.090075,3921,0.53841,7976
"ABCA13",0.078665,3623,0.77562,11132
"ABCA2",0.95036,15192,0.4485,7087
"ABCA3",0.71517,12082,0.48479,7582
"ABCA4",0.050734,2839,0.74101,10492
"ABCA5",0.40844,9250,0.89131,14090
"ABCA6",0.082082,3711,0.92599,15164
"ABCA7",0.0823,3717,0.60334,8554
"ABCA8",0.094606,4034,0.98971,17431
"ABCA9",0.86479,13821,0.40577,6459
"ABCB1",0.0051175,616,0.71341,10026
"ABCB10",0.0064166,705,0.92394,15091
"ABCB11",0.81344,13104,0.82155,12127
"ABCB4",0.68478,11818,0.76115,10870
"ABCB5",0.94114,15025,0.11507,3566
"ABCB6",0.32945,8134,0.835,12500
"ABCB7",1,17832,9.0745e-07,201
"ABCB8",0.12259,4727,0.93745,15541
"ABCB9",0.021517,1616,0.99162,17515
"ABCC1",0.70116,11963,0.67856,9455
"ABCC10",0.97173,15617,0.1108,3525
"ABCC11",0.17641,6061,0.96376,16420
"ABCC12",0.16545,5790,0.77235,11071
"ABCC2",0.97674,15735,0.87374,13597
"ABCC3",0.020553,1574,0.98696,17314
"ABCC4",0.026899,1897,0.9879,17355
"ABCC5",0.35988,8579,0.60889,8620
"ABCC6",0.22701,6810,0.24887,4684
"ABCC8",0.043726,2641,0.79025,11441
"ABCC9",0.81144,13077,0.93455,15430
"ABCD1",0.050109,2817,0.6389,8956
"ABCD2",0.06506,3270,0.93349,15398
"ABCD3",0.036992,2437,0.867,13401
"ABCD4",0.87004,13903,0.72782,10268
"ABCE1",0.99999,17545,1.3423e-05,544
"ABCF1",0.9872,16005,0.00011071,1027
"ABCF2",0.95585,15295,0.36875,5956
"ABCF3",0.0063129,701,0.9951,17670
"ABCG1",0.47583,10231,0.98442,17194
"ABCG2",0.070863,3430,0.38493,6159
"ABCG4",0.15774,5615,0.61663,8698
"ABCG5",0.73787,12275,0.86067,13231
"ABCG8",0.22118,6730,0.95203,16021
"ABHD1",0.021454,1610,0.84008,12636
"ABHD10",0.30088,7767,0.76556,10944
"ABHD11",0.99073,16119,0.016334,2409
"ABHD12",0.16848,5869,0.87051,13512
"ABHD12B",0.92257,14725,0.84684,12838
"ABHD13",0.99911,16709,0.00089414,1606
"ABHD14A",0.043081,2624,0.46944,7366
"ABHD14B",0.1997,6447,0.52167,7855
"ABHD15",0.22711,6812,0.26671,4818
"ABHD16A",0.96011,15370,0.38936,6226
"ABHD16B",0.64783,11540,0.63544,8915
"ABHD17A",0.96571,15497,0.048077,2904
"ABHD17B",0.62939,11400,0.080152,3208
"ABHD17C",0.11566,4551,0.84743,12861
"ABHD2",0.86632,13844,0.36595,5921
"ABHD3",0.52075,10689,0.72267,10176
"ABHD4",0.15661,5589,0.82893,12338
"ABHD5",0.88831,14176,0.10882,3501
"ABHD6",0.32007,8018,0.039064,2828
"ABHD8",0.9545,15270,0.27049,4846
"ABI1",0.54743,10832,0.9695,16635
"ABI2",0.40034,9144,0.78223,11267
"ABI3",0.26717,7334,0.61323,8660
"ABI3BP",0.20324,6501,0.38019,6105
"ABL1",0.29058,7635,0.95749,16209
"ABL2",0.80949,13053,0.76078,10864
"ABLIM1",0.11388,4505,0.98234,17102
"ABLIM2",0.042598,2606,0.81773,12026
"ABLIM3",0.096958,4091,0.88403,13862
"ABR",0.05828,3074,0.84919,12914
"ABRA",0.13885,5151,0.78057,11232
"ABRACL",0.6963,11919,0.75822,10803
"ABT1",0.99642,16397,0.00017713,1149
"ABTB1",0.13792,5116,0.67906,9463
"ABTB2",0.0022766,397,0.99188,17527
"ACAA1",0.032808,2226,0.90139,14401
"ACAA2",0.93914,14991,0.7601,10850
"ACACA",0.41023,9270,0.00015573,1119
"ACACB",0.10378,4262,0.95405,16091
"ACAD10",0.12282,4733,0.82579,12241
"ACAD11",0.00095275,224,0.99343,17591
"ACAD8",0.082903,3731,0.97772,16937
"ACAD9",0.98895,16070,0.0033933,1950
"ACADL",0.51612,10659,0.92056,14977
"ACADM",0.39731,9103,0.90098,14393
"ACADS",0.8956,14292,0.87178,13544
"ACADSB",0.18576,6245,0.48864,7609
"ACADVL",0.076309,3564,0.87611,13653
"ACAN",0.93696,14952,0.72969,10299
"ACAP1",0.054209,2947,0.68407,9534
"ACAP2",0.46451,10066,0.56263,8167
"ACAP3",0.14946,5441,0.97412,16817
"ACAT1",0.26141,7261,0.43217,6840
"ACAT2",1.1674e-10,7,1,18000
"ACBD3",0.32148,8036,0.75433,10742
"ACBD4",0.99896,16674,0.0010448,1644
"ACBD5",0.83232,13339,0.050979,2932
"ACBD6",0.030438,2110,0.74521,10561
"ACBD7",0.60225,11207,0.084158,3248
"ACCS",0.42791,9527,0.39295,6283
"ACCSL",0.58204,11062,0.67348,9381
"ACD",0.15387,5524,0.29318,5062
