"HumanGene","2021_Nature_Kamber_Ramos_macrophage_posscore","2021_Nature_Kamber_Ramos_macrophage_posrank","2021_Nature_Kamber_Ramos_macrophage_negscore","2021_Nature_Kamber_Ramos_macrophage_negrank"
"A1BG",0.77389,17534,0.34516,11482
"A1CF",0.2072,8911,0.17361,7522
"A2M",0.00017076,115,0.16861,7409
"A2ML1",0.097647,5458,0.58489,15186
"A3GALT2",0.0098652,1036,0.89931,18756
"A4GALT",0.062575,4095,0.77547,17394
"A4GNT",0.01012,1062,0.65399,16147
"AAAS",0.69474,16814,0.39335,12365
"AACS",0.20948,8955,0.92063,18945
"AADAC",0.046415,3245,0.50173,13911
"AADACL2",0.016863,1583,0.37244,12029
"AADACL3",0.013509,1320,0.49467,13802
"AADACL4",0.50162,14248,0.45658,13244
"AADAT",0.97864,19759,0.34767,11535
"AAED1",0.37893,12436,0.091629,4871
"AAGAB",0.71383,16964,0.067422,3987
"AAK1",0.39854,12794,0.0089132,1082
"AAMDC",0.29766,10867,0.034406,2502
"AAMP",0.02418,2009,0.80589,17766
"AANAT",0.16637,7766,0.58617,15206
"AAR2",0.63374,16066,0.086296,4663
"AARD",0.38207,12506,0.17493,7556
"AARS",0.34566,11775,0.62668,15801
"AARS2",0.79676,17764,0.4881,13682
"AARSD1",0.013704,1335,0.47093,13463
"AASDH",0.96162,19430,0.14033,6566
"AASDHPPT",0.99316,20146,0.28011,10037
"AASS",0.59318,15516,0.94414,19175
"AATF",0.63908,16147,0.094207,4964
"AATK",0.59653,15554,0.49899,13867
"ABAT",0.70763,16917,0.16542,7309
"ABCA1",0.00096621,241,0.92772,19013
"ABCA10",0.072579,4496,0.15087,6875
"ABCA12",0.15891,7539,0.012399,1321
"ABCA13",0.0752,4615,0.12505,6047
"ABCA2",0.7468,17280,0.72289,16769
"ABCA3",0.9753,19677,0.021749,1854
"ABCA4",0.84348,18276,0.44229,13019
"ABCA5",0.14709,7168,0.91653,18908
"ABCA6",0.061482,4044,0.83927,18194
"ABCA7",0.71144,16950,0.23272,8912
"ABCA8",0.27876,10473,0.15278,6936
"ABCA9",0.83987,18242,0.12067,5907
"ABCB1",0.20325,8828,0.074382,4243
"ABCB10",0.31344,11179,0.48624,13656
"ABCB11",0.59043,15485,0.11215,5614
"ABCB4",0.60344,15642,0.21276,8465
"ABCB5",0.12086,6255,0.054275,3469
"ABCB6",0.11871,6175,0.092853,4921
"ABCB7",0.076115,4656,0.14504,6704
"ABCB8",0.030174,2334,0.5215,14216
"ABCB9",0.089323,5164,0.84991,18339
"ABCC1",0.46265,13726,0.62118,15726
"ABCC10",0.037703,2767,0.26469,9671
"ABCC11",0.58795,15443,0.038155,2697
"ABCC12",0.0070577,795,0.9815,19917
"ABCC2",0.013948,1353,0.44015,12986
"ABCC3",0.031856,2435,0.9516,19280
"ABCC4",0.025153,2071,0.41865,12689
"ABCC5",0.14357,7051,0.58386,15165
"ABCC6",0.1422,7005,0.54808,14600
"ABCC8",0.74726,17287,0.016426,1555
"ABCC9",0.31281,11167,0.49357,13779
"ABCD1",0.18137,8234,0.11702,5776
"ABCD2",0.17093,7911,0.39931,12454
"ABCD3",0.58601,15413,0.0064304,882
"ABCD4",0.2503,9860,0.39928,12453
"ABCE1",0.055597,3744,0.12565,6070
"ABCF1",0.80711,17871,0.32154,10935
"ABCF2",0.0001717,116,0.96102,19441
"ABCF3",0.35004,11862,0.011984,1289
"ABCG1",0.95786,19366,0.051907,3370
"ABCG2",0.051728,3537,0.85325,18379
"ABCG4",0.018364,1681,0.35392,11669
"ABCG5",0.86856,18576,0.42154,12726
"ABCG8",0.2264,9329,0.075979,4312
"ABHD1",0.88499,18749,0.11449,5673
"ABHD10",0.14875,7234,0.00058288,311
"ABHD11",0.017879,1647,0.21593,8540
"ABHD12",0.57958,15316,0.24349,9191
"ABHD12B",0.0018858,333,0.53303,14391
"ABHD13",0.40578,12938,0.74761,17036
"ABHD14A",0.18077,8208,0.085212,4629
"ABHD14A-ACY1",0.5861,15416,0.098266,5104
"ABHD14B",0.11505,6045,0.33497,11228
"ABHD15",0.60423,15656,0.1419,6608
"ABHD16A",0.56738,15158,0.10157,5218
"ABHD16B",0.10083,5566,0.55947,14769
"ABHD17A",0.31641,11224,0.79621,17652
"ABHD17B",0.098511,5489,0.39909,12449
"ABHD17C",0.15214,7332,0.60672,15516
"ABHD2",0.019544,1750,0.065671,3930
"ABHD3",0.17337,7981,0.91825,18920
"ABHD4",0.97316,19632,0.068884,4042
"ABHD5",0.030732,2371,0.36761,11936
"ABHD6",0.036786,2714,0.16962,7436
"ABHD8",0.079883,4791,0.093668,4946
"ABI1",0.12453,6392,0.29994,10502
"ABI2",0.010728,1112,0.79462,17635
"ABI3",0.27199,10337,0.40289,12505
"ABI3BP",0.48315,14003,0.26626,9717
"ABL1",0.030663,2367,0.068806,4038
"ABL2",0.042812,3048,0.23725,9018
"ABLIM1",0.03933,2869,0.1629,7242
