"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Skin-Melanoma",106,12,0.113207547169811,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lung-AdenoCA",38,4,0.105263157894737,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lung-SCC",48,4,0.0833333333333333,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"ColoRect-AdenoCA",52,4,0.0769230769230769,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Eso-AdenoCA",98,7,0.0714285714285714,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lymph-BNHL",107,4,0.0373831775700935,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Breast-AdenoCA",198,7,0.0353535353535354,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Head-SCC",57,2,0.0350877192982456,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Stomach-AdenoCA",69,2,0.0289855072463768,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Liver-HCC",315,8,0.0253968253968254,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Panc-AdenoCA",237,6,0.0253164556962025,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Uterus-AdenoCA",40,1,0.025,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"CNS-GBM",41,1,0.024390243902439,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Kidney-ChRCC",45,1,0.0222222222222222,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Ovary-AdenoCA",112,2,0.0178571428571429,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Kidney-RCC",143,2,0.013986013986014,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Panc-Endocrine",85,1,0.0117647058823529,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lymph-CLL",95,1,0.0105263157894737,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Biliary-AdenoCA",33,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Bladder-TCC",23,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Bone-Benign",16,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Bone-Epith",10,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Bone-Osteosarc",38,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Breast-DCIS",3,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Breast-LobularCA",13,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Cervix-AdenoCA",2,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Cervix-SCC",18,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"CNS-Medullo",146,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"CNS-Oligo",18,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"CNS-PiloAstro",89,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Myeloid-AML",13,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Myeloid-MDS",2,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Myeloid-MPN",23,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"SoftTissue-Leiomyo",15,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
