"id","HumanGene"
"Aanat","AANAT"
"Aatk","AATK"
"Abca1","ABCA1"
"Abca4","ABCA4"
"Abca2","ABCA2"
"Abcb7","ABCB7"
"Abcg1","ABCG1"
"Abi1","ABI1"
"Abl1","ABL1"
"Abl2","ABL2"
"Acadl","ACADL"
"Acadm","ACADM"
"Acadvl","ACADVL"
"Acads","ACADS"
"Slc33a1","SLC33A1"
"Asic2","ASIC2"
"Asic1","ASIC1"
"Ace","ACE"
"Ache","ACHE"
"Apoc4","APOC4"
"Macf1","MACF1"
"Aco1","ACO1"
"Aco2","ACO2"
"Acox1","ACOX1"
"Acp1","ACP1"
"Acp2","ACP2"
"Acp5","ACP5"
"Acr","ACR"
"Chrna1","CHRNA1"
"Chrna4","CHRNA4"
"Chrna6","CHRNA6"
"Chrna7","CHRNA7"
"Chrnb1","CHRNB1"
"Chrnb2","CHRNB2"
"Chrnd","CHRND"
"Chrne","CHRNE"
"Chrng","CHRNG"
"Adipoq","ADIPOQ"
"Acrv1","ACRV1"
"Acta1","ACTA1"
"Actb","ACTB"
"Actc1","ACTC1"
"Actg1","ACTG1"
"Actg2","ACTG2"
"Actl7a","ACTL7A"
"Actl7b","ACTL7B"
"Actn2","ACTN2"
"Actn3","ACTN3"
"Acta2","ACTA2"
"Acvr1","ACVR1"
"Acvr1b","ACVR1B"
"Acvr2a","ACVR2A"
"Acvr2b","ACVR2B"
"Acvrl1","ACVRL1"
"Aspa","ASPA"
"Ada","ADA"
"Adam10","ADAM10"
"Adam11","ADAM11"
"Adam12","ADAM12"
"Adam15","ADAM15"
"Adam17","ADAM17"
"Adam19","ADAM19"
"Adam2","ADAM2"
"Adam22","ADAM22"
"Adam3","ADAM3A"
"Adam5","ADAM5"
"Adam7","ADAM7"
"Adam8","ADAM8"
"Adam9","ADAM9"
"Adamts1","ADAMTS1"
"Adcy6","ADCY6"
"Adcy7","ADCY7"
"Adcy8","ADCY8"
"Adcy9","ADCY9"
"Adcyap1","ADCYAP1"
"Adcyap1r1","ADCYAP1R1"
"Add1","ADD1"
"Add2","ADD2"
"Plin2","PLIN2"
"Adh1","ADH1C"
"Adh7","ADH7"
"Adh5","ADH5"
"Adk","ADK"
"Adm","ADM"
"Gpr182","GPR182"
"Cfd","CFD"
"Adnp","ADNP"
"Adora1","ADORA1"
"Adora2a","ADORA2A"
"Adora2b","ADORA2B"
"Adora3","ADORA3"
"Adprh","ADPRH"
"Parp1","PARP1"
"Parp2","PARP2"
"Adra1b","ADRA1B"
"Adra1a","ADRA1A"
"Adra1d","ADRA1D"
"Adra2a","ADRA2A"
"Adra2b","ADRA2B"
"Adra2c","ADRA2C"
"Adrb1","ADRB1"
"Adrb2","ADRB2"
"Adrb3","ADRB3"
"Adsl","ADSL"
"Avil","AVIL"
"Aebp1","AEBP1"
"Aebp2","AEBP2"
"Crisp1","CRISP3"
"Crisp3","CRISP3"
"Afp","AFP"
"Aga","AGA"
"Acan","ACAN"
"Ager","AGER"
"Angpt1","ANGPT1"
"Angpt2","ANGPT2"
"Angpt4","ANGPT4"
"Agrn","AGRN"
"Agrp","AGRP"
"Gla","GLA"
"Agt","AGT"
"Agtr1a","AGTR1"
"Agtr1b","AGTR1"
